Zondag 17 juni 2012,EK,groepfase,Denemarken,Duitsland,1,2
Maandag 18 juni 2012,EK,groepfase,Kroatië,Spanje,0,1
Maandag 18 juni 2012,EK,groepfase,Italië,Ierland,2,0
Dinsdag 19 juni 2012,EK,groepfase,Zweden,Frankrijk,2,0
Dinsdag 19 juni 2012,EK,groepfase,Engeland,Oekraïne,1,0
Donderdag 21 juni 2012,EK,groepfase,Tsjechië,Portugal,0,1
Vrijdag 22 juni 2012,EK,groepfase,Duitsland,Griekenland,4,2
Zaterdag 23 juni 2012,EK,groepfase,Spanje,Frankrijk,2,0
Zondag 24 juni 2012,EK,groepfase,Engeland,Italië,0,0
Woensdag 27 juni 2012,EK,groepfase,Portugal,Spanje,0,0
Donderdag 28 juni 2012,EK,groepfase,Duitsland,Italië,1,2
Zondag 1 juli 2012,EK,groepfase,Spanje,Italië,4,0
Zaterdag 18 november 2006,EK,groepfase,Wales,Faeröer Eil.,2,1
Zaterdag 18 november 2006,EK,groepfase,Slowakije,Luxemburg,4,0
Zaterdag 18 november 2006,EK,groepfase,Malta,Lithuania,0,0
Zondag 19 november 2006,EK,groepfase,Kroatië,Georgië,6,0
Zondag 19 november 2006,EK,groepfase,Noord-Ierland,Turkije,0,1
Zondag 19 november 2006,EK,groepfase,Israël,Letland,3,0
Zondag 19 november 2006,EK,groepfase,Bosnië-Herzeg.,Armenië,1,1
Zondag 19 november 2006,EK,groepfase,Roemenië,Azerbeidzjan,4,1
Zondag 19 november 2006,EK,groepfase,Estland,Bulgarije,0,5
Zondag 19 november 2006,EK,groepfase,Kazachstan,N Macedonië,1,0
Dinsdag 21 november 2006,EK,groepfase,Kroatië,Turkije,2,1
Dinsdag 21 november 2006,EK,groepfase,Georgië,Noord-Ierland,0,4
Dinsdag 21 november 2006,EK,groepfase,Israël,Armenië,1,0
Dinsdag 21 november 2006,EK,groepfase,Letland,Bosnië-Herzeg.,1,4
Dinsdag 21 november 2006,EK,groepfase,Slowakije,Lithuania,3,0
Dinsdag 21 november 2006,EK,groepfase,Luxemburg,Malta,4,2
Dinsdag 21 november 2006,EK,groepfase,Roemenië,Bulgarije,1,0
Dinsdag 21 november 2006,EK,groepfase,Azerbeidzjan,Estland,3,2
Dinsdag 21 november 2006,EK,groepfase,Wales,N Macedonië,6,0
Dinsdag 21 november 2006,EK,groepfase,Faeröer Eil.,Kazachstan,0,1
Vrijdag 24 november 2006,EK,groepfase,Noord-Ierland,Kroatië,5,1
Vrijdag 24 november 2006,EK,groepfase,Turkije,Georgië,9,0
Vrijdag 24 november 2006,EK,groepfase,Bosnië-Herzeg.,Israël,2,5
Vrijdag 24 november 2006,EK,groepfase,Armenië,Letland,1,0
Vrijdag 24 november 2006,EK,groepfase,Malta,Slowakije,0,8
Vrijdag 24 november 2006,EK,groepfase,Lithuania,Luxemburg,1,1
Vrijdag 24 november 2006,EK,groepfase,Estland,Roemenië,0,5
Vrijdag 24 november 2006,EK,groepfase,Bulgarije,Azerbeidzjan,3,0
Vrijdag 24 november 2006,EK,groepfase,Kazachstan,Wales,1,2
Vrijdag 24 november 2006,EK,groepfase,N Macedonië,Faeröer Eil.,0,7
Maandag 2 april 2007,EK,groepfase,Ierland,Hongarije,2,1
Woensdag 11 april 2007,EK,groepfase,Frankrijk,Griekenland,6,0
Donderdag 12 april 2007,EK,groepfase,Duitsland,Nederland,5,1
Zondag 15 april 2007,EK,groepfase,Slowakije,Portugal,2,1
Zaterdag 5 mei 2007,EK,groepfase,Italië,Zweden,0,2
Zaterdag 5 mei 2007,EK,groepfase,Slovenië,Servië,2,1
Zaterdag 5 mei 2007,EK,groepfase,Oostenrijk,Polen,0,1
Zaterdag 5 mei 2007,EK,groepfase,Hongarije,Roemenië,3,3
Zaterdag 5 mei 2007,EK,groepfase,Zwitserland,België,1,0
Zondag 6 mei 2007,EK,groepfase,Schotland,Portugal,0,0
Woensdag 9 mei 2007,EK,groepfase,Slowakije,Oekraïne,0,4
Woensdag 9 mei 2007,EK,groepfase,Zwitserland,Nederland,2,2
Donderdag 10 mei 2007,EK,groepfase,Israël,Polen,2,2
Donderdag 10 mei 2007,EK,groepfase,Wales,Duitsland,0,6
Zondag 13 mei 2007,EK,groepfase,Engeland,Noord-Ierland,4,0
Zaterdag 26 mei 2007,EK,groepfase,Noord-Ierland,Tsjechië,1,3
Woensdag 30 mei 2007,EK,groepfase,Wit-Rusland,Spanje,0,3
Woensdag 30 mei 2007,EK,groepfase,Israël,Rusland,0,6
Woensdag 30 mei 2007,EK,groepfase,Oekraïne,Schotland,2,1
Woensdag 30 mei 2007,EK,groepfase,Frankrijk,Slovenië,6,0
Woensdag 30 mei 2007,EK,groepfase,Ierland,Italië,1,2
Donderdag 31 mei 2007,EK,groepfase,Griekenland,IJsland,0,3
Zaterdag 16 juni 2007,EK,groepfase,IJsland,Frankrijk,1,0
Zaterdag 16 juni 2007,EK,groepfase,Roemenië,Zweden,0,7
Zaterdag 16 juni 2007,EK,groepfase,Rusland,Polen,3,1
Zondag 17 juni 2007,EK,groepfase,Israël,Noorwegen,0,3
Woensdag 20 juni 2007,EK,groepfase,Zweden,Hongarije,7,0
Donderdag 21 juni 2007,EK,groepfase,Oekraïne,Slowakije,5,0
Donderdag 21 juni 2007,EK,groepfase,Polen,Israël,4,1
Donderdag 21 juni 2007,EK,groepfase,Noorwegen,Oostenrijk,3,0
Donderdag 21 juni 2007,EK,groepfase,IJsland,Servië,5,0
Woensdag 1 augustus 2007,EK,groepfase,Wit-Rusland,Noord-Ierland,5,0
Woensdag 22 augustus 2007,EK,groepfase,Duitsland,Zwitserland,7,0
Donderdag 23 augustus 2007,EK,groepfase,Oostenrijk,Rusland,1,5
Zaterdag 25 augustus 2007,EK,groepfase,Roemenië,Ierland,0,2
Zaterdag 25 augustus 2007,EK,groepfase,Servië,Griekenland,1,2
Zondag 26 augustus 2007,EK,groepfase,Nederland,Wales,2,1
Zondag 26 augustus 2007,EK,groepfase,Wit-Rusland,Tsjechië,1,4
Zondag 26 augustus 2007,EK,groepfase,Slovenië,IJsland,2,1
Zondag 26 augustus 2007,EK,groepfase,Oostenrijk,Israël,5,0
Zaterdag 27 oktober 2007,EK,groepfase,Servië,Frankrijk,0,8
Zaterdag 27 oktober 2007,EK,groepfase,Hongarije,Italië,1,3
Zaterdag 27 oktober 2007,EK,groepfase,Tsjechië,Spanje,2,2
Zaterdag 27 oktober 2007,EK,groepfase,Engeland,Wit-Rusland,4,0
Zaterdag 27 oktober 2007,EK,groepfase,Denemarken,Portugal,5,1
Zaterdag 27 oktober 2007,EK,groepfase,Slowakije,Schotland,0,3
Zaterdag 27 oktober 2007,EK,groepfase,Noorwegen,Rusland,3,0
Zaterdag 27 oktober 2007,EK,groepfase,Ierland,Roemenië,2,1
Zondag 28 oktober 2007,EK,groepfase,Duitsland,België,3,0
Zondag 28 oktober 2007,EK,groepfase,Wales,Zwitserland,0,2
Woensdag 31 oktober 2007,EK,groepfase,Slovenië,Frankrijk,0,2
Woensdag 31 oktober 2007,EK,groepfase,Italië,Roemenië,5,0
Woensdag 31 oktober 2007,EK,groepfase,België,Wales,1,0
Woensdag 31 oktober 2007,EK,groepfase,Schotland,Denemarken,0,1
Donderdag 1 november 2007,EK,groepfase,Nederland,Duitsland,0,1
Zondag 25 november 2007,EK,groepfase,Engeland,Spanje,1,0
Zaterdag 16 februari 2008,EK,groepfase,Italië,Ierland,4,1
Zaterdag 16 februari 2008,EK,groepfase,Portugal,Slowakije,0,1
Zaterdag 16 februari 2008,EK,groepfase,Spanje,Noord-Ierland,4,0
Zondag 17 februari 2008,EK,groepfase,Wales,België,0,1
Woensdag 20 februari 2008,EK,groepfase,Wales,Nederland,0,1
Donderdag 21 februari 2008,EK,groepfase,Portugal,Oekraïne,0,1
Donderdag 6 maart 2008,EK,groepfase,Noord-Ierland,Engeland,0,2
