1968,11.06. 17:00,Zweden,Bulgarije,0,2
1968,08.06. 17:00,Noorwegen,Portugal,1,2
1968,04.06. 17:00,Denemarken,German Democratic Republic,1,1
1968,01.06. 17:00,Zweden,Portugal,1,1
1968,31.05. 17:00,Spanje,Turkije,2,0
1968,24.05. 17:00,Denemarken,Hongarije,0,2
1968,24.05. 17:00,Zwitserland,Roemenië,7,1
1968,21.05. 17:00,Ierland,Czechoslovakia,0,2
1968,21.05. 17:00,Polen,België,3,1
1968,14.05. 17:00,Albanië,Yugoslavia,0,2
1968,10.05. 17:00,Finland,Griekenland,1,1
1968,10.05. 17:00,Hongarije,Nederland,2,1
1968,03.05. 17:00,Yugoslavia,Duitsland,1,0
1968,23.04. 17:00,Roemenië,Cyprus,7,0
1968,16.04. 17:00,Luxemburg,Polen,0,0
1968,15.04. 17:00,Engeland,Schotland,2,3
1968,12.04. 17:00,Noord-Ierland,Wales,0,0
1968,08.04. 17:00,Duitsland,Albanië,6,0
1968,05.04. 17:00,German Democratic Republic,Nederland,4,3
1968,22.03. 17:00,Cyprus,Italië,0,2
1968,19.03. 17:00,Luxemburg,België,0,5
1968,22.02. 17:00,Turkije,Ierland,2,1
1968,01.02. 17:00,Turkije,Spanje,0,0
1968,07.12. 17:00,Spanje,Ierland,2,0
1968,03.12. 17:00,Cyprus,Roemenië,1,5
1968,30.11. 17:00,Nederland,Denemarken,2,0
1968,26.11. 17:00,Italië,Roemenië,3,1
1968,26.11. 17:00,Luxemburg,Frankrijk,0,3
1968,16.11. 17:00,Engeland,Wales,5,1
1968,16.11. 17:00,Ierland,Turkije,2,1
1968,16.11. 17:00,Schotland,Noord-Ierland,2,1
1968,13.11. 17:00,Bulgarije,Noorwegen,4,2
1968,13.11. 17:00,Portugal,Zweden,1,2
1968,11.11. 17:00,België,Frankrijk,2,1
1968,02.11. 17:00,Roemenië,Zwitserland,4,2
1968,23.10. 17:00,Ierland,Spanje,0,0
1968,22.10. 17:00,Frankrijk,Polen,2,1
1968,22.10. 17:00,Noord-Ierland,Engeland,0,2
1968,22.10. 17:00,Wales,Schotland,1,1
1968,16.10. 17:00,Griekenland,Finland,2,1
1968,02.10. 17:00,Finland,Oostenrijk,0,0
1968,02.10. 17:00,Polen,Luxemburg,4,0
1968,21.09. 17:00,Hongarije,Denemarken,6,0
1968,07.09. 17:00,Nederland,Hongarije,2,2
1972,18.06. 16:00,Duitsland,Sovjet-Unie,3,0
1972,17.06. 20:00,Hongarije,België,1,2
1972,14.06. 20:00,België,Duitsland,1,2
1972,14.06. 20:00,Hongarije,Sovjet-Unie,0,1
1972,17.05. 20:00,Hongarije,Roemenië,2,1
1972,14.05. 16:00,Roemenië,Hongarije,2,2
1972,13.05. 20:00,België,Italië,2,1
1972,13.05. 16:00,Duitsland,Engeland,0,0
1972,13.05. 15:00,Sovjet-Unie,Yugoslavia,3,0
1972,30.04. 16:00,Yugoslavia,Sovjet-Unie,0,0
1972,29.04. 20:45,Engeland,Duitsland,1,3
1972,29.04. 17:00,Hongarije,Roemenië,1,1
1972,29.04. 15:30,Italië,België,0,0
1972,16.02. 16:00,Noord-Ierland,Spanje,1,1
1972,05.12. 13:30,Turkije,Polen,1,0
1972,04.12. 13:30,Bulgarije,Frankrijk,2,1
1972,01.12. 13:45,Griekenland,Engeland,0,2
1972,24.11. 20:00,Spanje,Cyprus,7,0
1972,24.11. 13:00,Roemenië,Wales,2,0
1972,21.11. 16:00,Portugal,België,1,1
1972,20.11. 14:30,Italië,Oostenrijk,2,2
1972,17.11. 20:00,Luxemburg,Nederland,0,8
1972,17.11. 15:00,Duitsland,Polen,0,0
1972,14.11. 14:00,Albanië,Turkije,3,0
1972,14.11. 13:00,Roemenië,Czechoslovakia,2,1
1972,10.11. 20:45,Engeland,Zwitserland,1,1
1972,10.11. 20:30,Frankrijk,Bulgarije,2,1
1972,10.11. 20:30,Schotland,België,1,0
1972,27.10. 20:30,Spanje,Sovjet-Unie,0,0
1972,27.10. 18:00,Czechoslovakia,Wales,1,0
