Zaterdag 3 mei 2008,Hongarije,Zweden,0,6
Zaterdag 3 mei 2008,Noorwegen,Israël,7,0
Zaterdag 3 mei 2008,Servië,Slovenië,0,3
Zaterdag 3 mei 2008,Portugal,Schotland,1,4
Woensdag 7 mei 2008,België,Duitsland,0,5
Woensdag 7 mei 2008,Zweden,Italië,1,0
Woensdag 7 mei 2008,Noorwegen,Polen,3,0
Donderdag 8 mei 2008,Frankrijk,Servië,2,0
Donderdag 8 mei 2008,Wit-Rusland,Engeland,1,6
Donderdag 8 mei 2008,Portugal,Denemarken,0,4
Donderdag 8 mei 2008,Spanje,Tsjechië,4,1
Donderdag 8 mei 2008,Zwitserland,Wales,2,0
Zaterdag 24 mei 2008,Roemenië,Italië,1,6
Woensdag 28 mei 2008,Roemenië,Hongarije,3,1
Woensdag 28 mei 2008,Polen,Oostenrijk,2,4
Woensdag 28 mei 2008,Servië,IJsland,0,4
Woensdag 28 mei 2008,Slovenië,Griekenland,3,1
Woensdag 28 mei 2008,Denemarken,Slowakije,6,1
Woensdag 28 mei 2008,Schotland,Oekraïne,0,1
Woensdag 28 mei 2008,Noord-Ierland,Spanje,0,3
Donderdag 29 mei 2008,Rusland,Israël,4,0
Donderdag 29 mei 2008,Duitsland,Wales,4,0
Zaterdag 21 juni 2008,IJsland,Slovenië,5,0
Zaterdag 21 juni 2008,Oostenrijk,Noorwegen,0,4
Zondag 22 juni 2008,Oekraïne,Denemarken,1,0
Woensdag 25 juni 2008,Israël,Oostenrijk,0,2
Woensdag 25 juni 2008,Polen,Noorwegen,0,3
Woensdag 25 juni 2008,Ierland,Zweden,0,5
Donderdag 26 juni 2008,Tsjechië,Wit-Rusland,3,1
Donderdag 26 juni 2008,IJsland,Griekenland,7,0
Vrijdag 25 juli 2008,Noord-Ierland,Wit-Rusland,1,1
Woensdag 27 augustus 2008,Rusland,Oostenrijk,3,1
Zaterdag 30 augustus 2008,Nederland,Zwitserland,1,1
Zaterdag 27 september 2008,Griekenland,Servië,0,5
Zaterdag 27 september 2008,Polen,Rusland,1,4
Zaterdag 27 september 2008,Frankrijk,IJsland,2,1
Zaterdag 27 september 2008,Zweden,Roemenië,2,0
Zaterdag 27 september 2008,Oekraïne,Portugal,1,1
Zaterdag 27 september 2008,Nederland,België,3,0
Zondag 28 september 2008,Tsjechië,Engeland,1,5
Zondag 28 september 2008,Schotland,Slowakije,6,0
Woensdag 1 oktober 2008,Zwitserland,Duitsland,0,3
Woensdag 1 oktober 2008,Denemarken,Oekraïne,1,0
Woensdag 1 oktober 2008,Zweden,Ierland,1,0
Donderdag 2 oktober 2008,Rusland,Noorwegen,0,0
Donderdag 2 oktober 2008,Italië,Hongarije,3,0
Donderdag 2 oktober 2008,Griekenland,Slovenië,4,6
Donderdag 2 oktober 2008,Spanje,Engeland,2,2
Zaterdag 25 oktober 2008,Tsjechië,Italië,0,1
Zaterdag 25 oktober 2008,Spanje,Nederland,0,2
Zondag 26 oktober 2008,Slovenië,Oekraïne,0,3
Zondag 26 oktober 2008,Ierland,IJsland,1,1
Zondag 26 oktober 2008,Schotland,Rusland,2,3
Woensdag 29 oktober 2008,Italië,Tsjechië,2,1
Donderdag 30 oktober 2008,Rusland,Schotland,1,2
Donderdag 30 oktober 2008,Oekraïne,Slovenië,2,0
Donderdag 30 oktober 2008,IJsland,Ierland,3,0
Donderdag 30 oktober 2008,Nederland,Spanje,2,0
Zondag 23 augustus 2009,Oekraïne,Nederland,0,2
Zondag 23 augustus 2009,Finland,Denemarken,1,0
Maandag 24 augustus 2009,Duitsland,Noorwegen,4,0
Maandag 24 augustus 2009,IJsland,Frankrijk,1,3
Dinsdag 25 augustus 2009,Engeland,Italië,1,2
Dinsdag 25 augustus 2009,Zweden,Rusland,3,0
Woensdag 26 augustus 2009,Oekraïne,Denemarken,1,2
Woensdag 26 augustus 2009,Nederland,Finland,1,2
Donderdag 27 augustus 2009,Frankrijk,Duitsland,1,5
Donderdag 27 augustus 2009,IJsland,Noorwegen,0,1
Vrijdag 28 augustus 2009,Italië,Zweden,0,2
Vrijdag 28 augustus 2009,Engeland,Rusland,3,2
Zaterdag 29 augustus 2009,Finland,Oekraïne,0,1
Zaterdag 29 augustus 2009,Denemarken,Nederland,1,2
Zondag 30 augustus 2009,Noorwegen,Frankrijk,1,1
Zondag 30 augustus 2009,Duitsland,IJsland,1,0
Maandag 31 augustus 2009,Rusland,Italië,0,2
Maandag 31 augustus 2009,Zweden,Engeland,1,1
Donderdag 3 september 2009,Finland,Engeland,2,3
Donderdag 3 september 2009,Nederland,Frankrijk,0,0
Vrijdag 4 september 2009,Duitsland,Italië,2,1
Vrijdag 4 september 2009,Zweden,Noorwegen,1,3
